PLAYER,POS,LANE AGILITY TIME ,SHUTTLE RUN ,THREE QUARTER SPRINT ,STANDING VERTICAL LEAP ,MAX VERTICAL LEAP ,MAX BENCH PRESS 
Donovan Mitchell,SG,11.53,3.07,3.01,36.5,40.5,10
Monte Morris,PG,11,3.2,3.19,28,33.5,8
Johnathan Motley,PF,-,-,-,-,-,-
Svi Mykhailiuk,SG-SF,12.4,3.25,3.53,27,33,8
Semi Ojeleye,SF-SG,10.58,3.07,3.16,35,40.5,19
Cameron Oliver,PF,12.17,3.31,3.16,28,39.5,5
Justin Patton,C,11.8,3.31,3.46,26,30.5,-
Alec Peters,PF,-,-,-,-,-,-
Ivan Rabb,PF,12.68,3.23,3.35,28.5,32.5,3
Davon Reed,SG-SF,11.37,3.21,3.34,28.5,36,12
Devin Robinson,SF,12.85,3.61,3.23,35.5,41.5,10
Kobi Simmons,PG,11.15,2.98,3.18,30.5,38.5,3
Edmond Sumner,PG,-,-,-,-,-,-
Caleb Swanigan,PF,-,-,-,-,-,-
Sindarius Thornwell,SG-SF,11.48,3.03,3.36,27,30.5,15
Melo Trimble,PG,10.75,2.92,3.27,24.5,32,6
Moritz Wagner,PF,12,2.98,3.35,25.5,32.5,-
Derrick Walton Jr.,PG,11.28,3.12,3.29,26,32.5,9
Thomas Welsh,PF-C,-,-,-,-,-,11
Derrick White,PG,10.84,2.92,3.08,31,36.5,10
Nigel Williams-Goss,PG,10.42,3.08,3.19,27.5,34.5,10
D.J. Wilson,PF,-,-,-,-,-,-
Omer Yurtseven,C,12.85,3.3,3.45,26,31.5,6
Ron Baker,SG,10.77,2.96,3.45,30,35.5,-
Wade Baldwin IV,PG,10.45,3.01,3.19,32.5,38,-
Cat Barber,PG,-,-,-,-,-,-
Malik Beasley,SG,-,0,-,-,-,-
DeAndre Bembry,SG-SF,10.9,2.87,3.17,32,38,-
Ben Bentil,PF,11.16,3.1,3.3,29,33,-
Jaron Blossomgame,SF,11.53,3.26,3.2,35,41,-
Joel Bolomboy,PF,10.26,2.86,3.17,37.5,40.5,-
Malcolm Brogdon,SG,10.77,2.64,3.31,30.5,35.5,-
Jaylen Brown,SG-SF,-,-,-,-,-,-
Marquese Chriss,PF,11.93,3.05,3.26,32.5,38.5,-
Elgin Cook,SF,-,-,-,-,-,-
Isaiah Cousins,PG,10.79,2.97,3.24,30.5,37,-
Deyonta Davis,PF,-,-,-,-,-,-
Cheick Diallo,PF,11.24,3.3,3.26,31,35,-
Kris Dunn,PG,-,-,-,-,-,-
Henry Ellenson,PF,-,-,-,-,-,-
Perry Ellis,PF,10.73,3.03,3.13,32,38,-
Kay Felder,PG,11.52,2.9,3.15,35.5,44,-
Dorian Finney-Smith,SF,11.01,3.04,3.27,32.5,35.5,-
Michael Gbinije,SG,11,3.19,3.12,33.5,37.5,-
Daniel Hamilton,SG-SF,11.48,3.2,3.4,26,29,-
Josh Hart,SG,11.15,3.15,3.2,29.5,38.5,-
Nigel Hayes,SF-PF,12.11,2.9,3.2,25.5,28.5,-
Buddy Hield,SG,-,-,-,-,-,-
Justin Jackson,SF,11.32,2.96,3.26,29.5,34.5,-
Demetrius Jackson,PG,10.81,2.87,3.25,37.5,43.5,-
Brice Johnson,PF,11.88,2.94,3.2,33.5,38,-
Damian Jones,C,11.35,3.12,3.2,36,37,-
Skal Labissiere,PF-C,-,-,-,-,-,-
Jake Layman,SF,11.35,2.82,3.24,33,39.5,-
Caris LeVert,SG,-,-,-,-,-,-
Marcus Lee,PF-C,11.68,3.19,3.25,28.5,35.5,-
Thon Maker,PF,11.15,3.09,3.33,32,36.5,-
Patrick McCaw,PG-SG,11.01,2.97,3.3,30,38,-
Malik Newman,SG,10.88,3.11,3.28,30,35.5,-
Georges Niang,PF,11.64,3.17,3.49,25,31,-
Chinanu Onuaku,C,11.65,3,3.5,27.5,33.5,-
Marcus Paige,PG,10.82,2.69,3.15,33.5,39.5,-
Gary Payton II,PG,11.57,3.17,3.23,31.5,38.5,-
Jakob Poeltl,C,-,-,-,-,-,-
Taurean Prince,SF,10.96,2.8,3.24,34,36,-
Zhou Qi,PF-C,11.27,2.9,3.46,31.5,32,-
Malachi Richardson,SG-SF,10.56,3.25,3.33,33,38,-
Wayne Selden,SG,-,-,-,-,-,-
Pascal Siakam,PF,11.25,3.09,3.41,30.5,36.5,-
Diamond Stone,C,12.02,3.22,3.5,27,29.5,-
Caleb Swanigan,PF,12.8,-,-,26,29,-
Melo Trimble,PG,10.57,2.77,3.2,26.5,35.5,-
Tyler Ulis,PG,10.8,2.88,3.2,32.5,38,-
Jarrod Uthoff,PF,11.52,3.03,3.5,29,34.5,-
Denzel Valentine,SG-SF,10.51,3.22,3.46,27,32,-
Isaiah Whitehead,PG-SG,11.65,3.21,3.34,27.5,35.5,-
Troy Williams,SF,10.72,3.08,3.35,30,36,-
Kyle Wiltjer,PF,11.35,3.04,3.48,28.5,35.5,-
Stephen Zimmerman,C,12.08,3.16,3.43,26,31,-
Cliff Alexander,PF-C,-,-,-,-,-,-
Justin Anderson,SF-SG,11.13,2.88,3.22,38,43,12
Brandon Ashley,PF,11.21,3.35,3.58,31.5,35.5,9
